PlayerID,Player,Team,Positions,Games,GS,W,L,SV,IP,Outs,SO,BB,ERA,WHIP
678394,Brayan Bello,Boston Red Sox,P,25,10,6,7,1,110.1,331,88,35,4.57,1.4
683363,Matt Wilkinson,San Francisco Giants,P,6,4,1,3,0,19.2,59,12,4,4.58,1.12
621111,Walker Buehler,San Diego Padres,P,30,30,8,6,0,143.1,430,122,54,4.58,1.37
656427,Jack Flaherty,Detroit Tigers,P,19,19,3,8,0,86.1,259,102,42,4.59,1.41
668933,Graham Ashcraft,Cincinnati Reds,P,31,0,1,1,1,31.1,94,37,22,4.6,1.5
606996,Kyle Hart,San Diego Padres,P,44,4,1,3,0,62.2,188,57,22,4.6,1.15
686580,Justin Slaten,Boston Red Sox,P,36,0,2,4,0,31.1,94,39,8,4.6,1.37
808963,Roki Sasaki,Los Angeles Dodgers,P,23,23,5,5,0,119.1,358,117,48,4.6,1.33
669160,Dustin May,Milwaukee Brewers,P,29,29,7,9,0,140.2,422,137,47,4.61,1.32
703725,Luis Gastelum,St. Louis Cardinals,P,30,0,4,3,0,33.0,99,40,11,4.64,1.27
605135,Chris Bassitt,Baltimore Orioles,P,19,17,8,5,0,97.0,291,72,37,4.64,1.55
676051,Codi Heuer,Cleveland Guardians,P,8,0,0,1,0,9.2,29,6,5,4.66,1.76
642207,Devin Williams,New York Mets,P,42,0,3,2,16,38.2,116,51,21,4.66,1.66
669022,MacKenzie Gore,Texas Rangers,P,32,32,8,11,0,165.2,497,172,69,4.67,1.35
694753,Khristian Curtis,Pittsburgh Pirates,P,5,0,2,0,0,17.1,52,10,11,4.67,1.21
676664,JP Sears,San Diego Padres,P,8,6,3,4,0,32.2,98,25,11,4.68,1.35
682445,Domingo Gonzalez,Seattle Mariners,P,5,0,0,0,0,7.2,23,5,5,4.7,1.83
664954,Brett Sullivan,Colorado Rockies,"1B, C, DH, P",7,0,0,0,0,7.2,23,1,2,4.7,1.7
671096,Andrew Abbott,Cincinnati Reds,P,31,31,6,11,0,159.0,477,125,75,4.7,1.47
683352,Mitch Bratt,Arizona Diamondbacks,P,10,10,1,3,0,44.0,132,30,27,4.7,1.52
573124,Taylor Rogers,Minnesota Twins,P,61,0,6,3,2,55.1,166,48,29,4.72,1.63
702474,Mike Paredes,Minnesota Twins,P,9,5,0,3,0,34.1,103,19,13,4.72,1.43
682982,Daniel Espino,Cleveland Guardians,P,12,2,0,0,0,13.1,40,22,7,4.73,1.43
572955,Pierce Johnson,Cincinnati Reds,P,53,0,2,1,1,45.2,137,37,18,4.73,1.36
640455,Sean Manaea,New York Mets,P,31,17,5,7,0,138.2,416,132,41,4.74,1.32
805673,Zebby Matthews,Minnesota Twins,P,22,22,9,10,0,125.1,376,107,39,4.74,1.24
